gender,name,variant,base_name,usage_note,declension,genitive,patr_old_m,patr_old_f,patr_m,patr_f,source
М,Аглаий,,Аглай,Стар. форма имени,"-я, м. Стар. форма имени Аглай (см.).",Аглаия,Аглаиев,Аглаиева,Аглаевич,Аглаевна,(для варианта целевого современного отчества)
М,Аглаий,,Аглай,Стар. форма имени,"-я, м. Стар. форма имени Аглай (см.).",Аглаия,Аглаиев,Аглаиева,Аглаиевич,Аглаиевна,Словарь русских личных имен Петровского
М,Аглай,Аглаий,,Редк.,"-я, м. Редк.; стар. Аглаий, -я.",Аглая,Аглаев,Аглаева,Аглаевич,Аглаевна,Словарь русских личных имен Петровского
Ж,Аглая,,,,"-и, ж.",Аглаи,,,,,Словарь русских личных имен Петровского
М,Агн,,,Стар. редк.,"-а, м. Стар. редк.",Агна,Агнов,Агнова,Агнович,Агновна,Словарь русских личных имен Петровского
Ж,Агна,,,Стар. редк.,"-ы, ж. Стар. редк.",Агны,,,,,Словарь русских личных имен Петровского
Ж,Агнесса,,,,"-ы, ж.",Агнессы,,,,,Словарь русских личных имен Петровского
М,Агний,,,Стар. редк.,"-я, м. Стар. редк.",Агния,Агниев,Агниева,Агниевич,Агниевна,Словарь русских личных имен Петровского
Ж,Агния,Агнея,,,"-и, ж.; прост. Агнея, -и.",Агнии,,,,,Словарь русских личных имен Петровского
Ж,Аграпена,,Агриппина,,,Аграпены,,,,,
Ж,Аграфена,,Агриппина,Народн.,"-ы, ж. Народн. форма имени Агриппина (см.).",Аграфены,,,,,Словарь русских личных имен Петровского
М,Агрикола,,,Стар. редк.,"-ы, м. Стар. редк.",Агриколы,Агриколин,Агриколина,Агриколич,Агриколична,Словарь русских личных имен Петровского
Ж,Агрипина,Агрипена,Агриппина,,,Агрипины,,,,,
М,Агриппа,,,Стар. редк.,"-ы, м. Стар. редк.",Агриппы,Агриппин,Агриппина,Агриппич,Агриппична,Словарь русских личных имен Петровского
Ж,Агриппина,Аграфена,,,"-ы, ж.; народн. Аграфена, -ы.",Агриппины,,,,,Словарь русских личных имен Петровского
Ж,Ада,,,,"-ы, ж.",Ады,,,,,Словарь русских личных имен Петровского
М,Адам,,,,"-а, м.",Адама,Адамов,Адамова,Адамович,Адамовна,Словарь русских личных имен Петровского
Ж,Аделаида,,,Заимств.,"-ы, ж. Заимств.",Аделаиды,,,,,Словарь русских личных имен Петровского
Ж,Аделина,,,Заимств.,"-ы, ж. Заимств.",Аделины,,,,,Словарь русских личных имен Петровского
М,Адельфий,,,,,Адельфия,Адельфьев,Адельфьева,Адельфиевич,Адельфиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Адельфий,,,Стар. редк.,"-я, м. Стар. редк.",Адельфия,Адельфиев,Адельфиева,Адельфиевич,Адельфиевна,Словарь русских личных имен Петровского
Ж,Адельфина,,,,"-ы, ж.",Адельфины,,,,,Словарь русских личных имен Петровского
М,Адикий,,Авдикий,Разг.,"-я, м. Разг. к Авдикий (см.).",Адикия,Адикиев,Адикиева,Авдикиевич,Авдикиевна,(для варианта целевого современного отчества)
М,Адикий,,,,,,Адикьев,Адикьева,Адикиевич,Адикиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Адикий,,Авдикий,Разг.,"-я, м. Разг. к Авдикий (см.).",Адикия,Адикиев,Адикиева,Адикиевич,Адикиевна,Словарь русских личных имен Петровского
М,Адолий,,,,,,Адольев,Адольева,Адолиевич,Адолиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Адолий,,,Стар. редк.,"-я, м. Стар. редк.",Адолия,Адолиев,Адолиева,Адолиевич,Адолиевна,Словарь русских личных имен Петровского
Ж,Адолия,,,Стар. редк.,"-и, ж. Стар. редк.",Адолии,,,,,Словарь русских личных имен Петровского
М,Адонис,,,Заимств.,"-а, м. Заимств.",Адониса,Адонисов,Адонисова,Адонисович,Адонисовна,Словарь русских личных имен Петровского
М,Адриан,Андриан,,,"-а, м.; народн. Андриан, -а и Андриян, -а; разг. Адриян, -а.",Адриана,Адрианов,Адрианова,Адрианович,Адриановна,Словарь русских личных имен Петровского
М,Адриян,Андриян,Адриан,Разг.,"-а, м. Разг. к Адриан (см.).",Адрияна,Адриянов,Адриянова,Адрианович,Адриановна,(для варианта целевого современного отчества)
М,Адриян,Андриян,Адриан,Разг.,"-а, м. Разг. к Адриан (см.).",Адрияна,Адриянов,Адриянова,Адриянович,Адрияновна,Словарь русских личных имен Петровского
М,Аетий,,Аэтий,Стар. форма имени,"-я, м. Стар. форма имени Аэтий (см.).",Аетия,Аетиев,Аетиева,Аэтиевич,Аэтиевна,(для варианта целевого современного отчества)
М,Аетий,,,,,,Аетьев,Аетьева,Аетиевич,Аетиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Аетий,,Аэтий,Стар. форма имени,"-я, м. Стар. форма имени Аэтий (см.).",Аетия,Аетиев,Аетиева,Аетиевич,Аетиевна,Словарь русских личных имен Петровского
М,Аза,,,Стар. редк.,"-ы, м. Стар. редк.",Азы,Азин,Азина,Азич,Азична,Словарь русских личных имен Петровского
М,Азадан,,,Стар. редк.,"-а, м. Стар. редк.",Азадана,Азаданов,Азаданова,Азаданович,Азадановна,Словарь русских личных имен Петровского
Ж,Азалия,,,Заимств.,"-и, ж. Заимств.",Азалии,,,,,Словарь русских личных имен Петровского
М,Азар,,Азарий,Разг.,"-а, м. Разг. к Азарий (см.).",Азара,Азаров,Азарова,Азариевич,Азариевна,(для варианта целевого современного отчества)
М,Азар,,Азарий,Разг.,"-а, м. Разг. к Азарий (см.).",Азара,Азаров,Азарова,Азарович,Азаровна,Словарь русских личных имен Петровского
М,Азарий,,,,,,Азарьев,Азарьева,Азариевич,Азариевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Азарий,Азар,,,"-я, м.; разг. Азар, -а; стар. Азария, -и.",Азария,Азариев,Азариева,Азариевич,Азариевна,Словарь русских личных имен Петровского
М,Азария,,Азарий,Стар. форма имени,"-и, м. Стар. форма имени Азарий (см.).",Азарии,Азариев,Азариева,Азариевич,Азариевна,(для варианта целевого современного отчества)
М,Азария,,,,,,Азарьев,Азарьева,Азарич,Азарична,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Азария,,Азарий,Стар. форма имени,"-и, м. Стар. форма имени Азарий (см.).",Азарии,Азариев,Азариева,Азарич,Азарична,Словарь русских личных имен Петровского
М,Азат,,,,"-а, м.",Азата,Азатов,Азатова,Азатович,Азатовна,Словарь русских личных имен Петровского
