name,np_type,guberniya,uyezd,volost,short_location,full_location,familio_url
Переволока,д.,Костромская,Макарьевский,Завражная,д. Переволока,"д. Переволока, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/aaa09cc4-5718-4d38-a1ed-53c634ee8151
Немда,с.,Костромская,Макарьевский,Завражная,с. Немда,"с. Немда, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/fa70ea2f-adc5-4608-9266-d7667703b9c3
Добрянки,д.,Костромская,Макарьевский,Чернышевская,д. Добрянки,"д. Добрянки, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/6eb802e7-8293-4fa6-8886-552adfb7745e
Меленки,д.,Костромская,Макарьевский,Чернышевская,д. Меленки,"д. Меленки, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/848fef8f-7834-4624-983e-98618ed97ed4
Сивково,д.,Костромская,Макарьевский,Завражная,д. Сивково,"д. Сивково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/17e5b6fd-dfc4-4372-a9ad-3eaa60fa1e55
Голчино,д.,Костромская,Макарьевский,Завражная,д. Голчино,"д. Голчино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/d8c2633b-7d25-4dfb-9c03-904045ccb98e
Лубяны,д.,Костромская,Макарьевский,Завражная,д. Лубяны,"д. Лубяны, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/cef32750-9d5c-470a-a8d9-d35095550d83
Черепаново,д.,Костромская,Макарьевский,Каргинская,д. Черепаново,"д. Черепаново, Каргинская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/4ec4aafc-2d3b-4e2d-9eac-8a350e4b7643
Коловодь Малая,д.,Костромская,Макарьевский,Ковернинская,д. Коловодь Малая,"д. Коловодь Малая, Ковернинская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/25114b39-62db-42cd-90a6-7ca138b3483c
Лужиново,д.,Костромская,Макарьевский,Завражная,д. Лужиново,"д. Лужиново, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/3c5943cf-ab26-41dd-8c21-45f8ff7b3576
Ростоново,д.,Костромская,Макарьевский,Мордвиновская,д. Ростоново,"д. Ростоново, Мордвиновская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/5a90e7cc-3c98-43b2-9409-37170f124525
Романов-Борисоглебск,г.,Ярославская,,,г. Романов-Борисоглебск,"г. Романов-Борисоглебск, Ярославская губерния",https://familio.org/settlements/fe158595-7e11-4750-a157-0683e5c83567
Пучеж,г.,Костромская,Юрьевецкий,,г. Пучеж,"г. Пучеж, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/0e115275-3241-4692-92c5-2f1f2393dc73
Пищи,с.,Костромская,Кологривский,Спасская,с. Пищи,"с. Пищи, Спасская волость, Кологривский уезд, Костромская губерния",https://familio.org/settlements/0bab4abe-ef1f-4364-a961-aca838ccc890
Савино Завражье,д.,Костромская,Макарьевский,Завражная,д. Савино Завражье,"д. Савино Завражье, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/c193dc5f-a158-4034-a0e1-405b77f21289
